M200 Europe|201012|1|3399.9900|2010|12|2010-12-25 00:00:00.000
M200 Europe|201101|5|16924.9500|2011|1|2011-01-25 00:00:00.000
M200 Europe|201102|6|20349.9400|2011|2|2011-02-25 00:00:00.000
M200 Europe|201103|5|16949.9500|2011|3|2011-03-25 00:00:00.000
M200 Europe|201104|5|16949.9500|2011|4|2011-04-25 00:00:00.000
M200 Europe|201105|8|27124.9200|2011|5|2011-05-25 00:00:00.000
M200 Europe|201106|8|27049.9200|2011|6|2011-06-25 00:00:00.000
M200 Europe|201107|8|27124.9200|2011|7|2011-07-25 00:00:00.000
M200 Europe|201108|7|23699.9300|2011|8|2011-08-25 00:00:00.000
M200 Europe|201109|8|27049.9200|2011|9|2011-09-25 00:00:00.000
M200 Europe|201110|8|27099.9200|2011|10|2011-10-25 00:00:00.000
M200 Europe|201111|8|27099.9200|2011|11|2011-11-25 00:00:00.000
M200 Europe|201112|8|27124.9200|2011|12|2011-12-25 00:00:00.000
M200 Europe|201201|12|24678.4640|2012|1|2012-01-25 00:00:00.000
M200 Europe|201202|16|32897.1782|2012|2|2012-02-25 00:00:00.000
M200 Europe|201203|18|37106.9816|2012|3|2012-03-25 00:00:00.000
M200 Europe|201204|14|28843.6246|2012|4|2012-04-25 00:00:00.000
M200 Europe|201205|17|35035.5620|2012|5|2012-05-25 00:00:00.000
M200 Europe|201206|31|63834.5438|2012|6|2012-06-25 00:00:00.000
M200 Europe|201207|20|41227.4994|2012|7|2012-07-25 00:00:00.000
M200 Europe|201208|29|59736.3474|2012|8|2012-08-25 00:00:00.000
M200 Europe|201209|24|49379.2494|2012|9|2012-09-25 00:00:00.000
M200 Europe|201210|26|53522.0886|2012|10|2012-10-25 00:00:00.000
M200 Europe|201211|30|61740.8028|2012|11|2012-11-25 00:00:00.000
M200 Europe|201212|44|92721.2046|2012|12|2012-12-25 00:00:00.000
M200 Europe|201301|37|85514.6300|2013|1|2013-01-25 00:00:00.000
M200 Europe|201302|40|92224.6000|2013|2|2013-02-25 00:00:00.000
M200 Europe|201303|57|131639.4300|2013|3|2013-03-25 00:00:00.000
M200 Europe|201304|47|108539.5300|2013|4|2013-04-25 00:00:00.000
M200 Europe|201305|55|126899.4500|2013|5|2013-05-25 00:00:00.000
